Response,Feature_Name,Coef
Remission,disease_25906001,-0.0142428058470228
Remission,disease_25924004,0.025846395221996474
Remission,disease_26045000,-0.0018611610550803102
Remission,disease_26158002,0.01409473343715347
Remission,disease_26416006,-0.005749552994692824
Remission,disease_26538006,-0.005915742763089223
Remission,disease_26614003,0.009149602825536347
Remission,disease_26624006,0.011955027022220694
Remission,disease_26738009,-0.009748733473142958
Remission,disease_26843008,0.03453514968206689
Remission,disease_26889001,-0.010635162381402746
Remission,disease_27059002,0.01579275384815624
Remission,disease_27075004,-0.012495289015932864
Remission,disease_27151001,0.030856100107746618
Remission,disease_27194006,-0.00033243773548825064
Remission,disease_27342004,-0.013051170434804572
Remission,disease_27619001,-0.01101930618712255
Remission,disease_27741009,-0.0019831726746268514
Remission,disease_27830001,0.01527009177904251
Remission,disease_27885002,0.021985654339974955
Remission,disease_27916005,0.013502731410131604
Remission,disease_27942005,0.005787684300877469
Remission,disease_28012007,-0.0018655603081307475
Remission,disease_28104001,0.01919291089738204
Remission,disease_28119000,0.02457694617374784
Remission,disease_28293008,0.02556712274796562
Remission,disease_28425007,0.008433147733716133
Remission,disease_28574005,-0.019897173684405984
Remission,disease_28651003,-0.025345723512340674
Remission,disease_28670008,-0.029135497810107706
Remission,disease_28783002,0.030791850971721352
Remission,disease_28944009,0.02544353275832892
Remission,disease_28998008,-0.019051504991490602
Remission,disease_29281007,-0.020542751317987135
Remission,disease_29384001,0.002302830611339798
Remission,disease_29484002,0.005669268331072958
Remission,disease_29555009,0.051412475886127795
Remission,disease_29717002,0.03943752293589651
Remission,disease_29928006,-0.007833093049422554
Remission,disease_29951006,0.027505803664641764
Remission,disease_30037006,-0.00747794641393022
Remission,disease_30093007,-0.011273442014099435
Remission,disease_30128009,-0.024516932780259015
Remission,disease_30144000,0.01904053835804618
Remission,disease_30171000,0.02592445240706134
Remission,disease_30611007,0.014080195489942228
Remission,disease_30731004,-0.013545037872511814
Remission,disease_30746006,-0.020876223035559135
Remission,disease_30800001,-0.010643962464210918
Remission,disease_30913008,0.017050118971282047
Remission,disease_30936004,-0.02536919707238245
Remission,disease_31054009,0.009024690002859881
Remission,disease_31085000,0.024570620613709394
Remission,disease_31297008,-0.014432668851290185
Remission,disease_31341008,-0.0019963086916736524
Remission,disease_31438003,-0.031314237616953566
Remission,disease_31516002,-0.0032203693069698764
Remission,disease_31541009,-0.01676796722412372
Remission,disease_31642005,0.004652254155013039
Remission,disease_31658008,0.00743434145856811
Remission,disease_31681005,0.0017993403641879907
Remission,disease_31704005,-0.006859805505389495
Remission,disease_31822004,-0.015311852993443877
Remission,disease_31848007,-0.03504277557545661
Remission,disease_31871009,0.005898681428596351
Remission,disease_31928004,0.0008485700095963307
Remission,disease_31956009,-0.032707329798595614
Remission,disease_31992008,0.00858648215055812
Remission,disease_32273002,0.0025690715627129067
Remission,disease_32307003,0.019005423596938822
Remission,disease_32398004,-0.0028785337957601535
Remission,disease_32595002,-0.013915030462002723
Remission,disease_32620007,-0.0005585433637449526
Remission,disease_32914008,-0.025018658422462772
Remission,disease_32916005,-0.004850972708378775
